evidence_group,experiment,region,target,lead_months,model,calibration,reference,n_months,bss,ci_low,ci_high,status,signal_flag,interpretation,source_file,paper_priority
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles,Southern Great Plains,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence selected,selected,monthly climatology,39,0.6699670194210244,0.481043213280324,0.7758993671454082,robust_positive,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_lead1,California Central Valley,ERA5-Land root-zone soil moisture dry fraction,1,NCEI CFSv2 soil-moisture forecast selected,selected,monthly climatology,42,0.6303966726928507,0.4768445777009295,0.7616298442447963,robust_positive,,"NOAA NCEI THREDDS CFSv2 monthly-mean flxf soilw forecast mapped to ERA5-Land root-zone soil-moisture dry-fraction probability. Observed dry thresholds and climatology use the train period; calibration is validation-only. This is a forecast-informed land-surface benchmark, not a lag-only ML model; CFSv2 member aggregation=single-cycle.",outputs/landsurface_cfsv2_rzsm_lead1_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_lead1,California Central Valley,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence raw,raw,monthly climatology,42,0.5366336045119268,-0.071913402728424,0.8482794694454272,positive_uncertain,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_lead1_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_lead1_allcycles,California Central Valley,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence raw,raw,monthly climatology,39,0.5233830441737191,-0.1539157450481648,0.858611554792551,positive_uncertain,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_lead1_allcycles,California Central Valley,ERA5-Land root-zone soil moisture dry fraction,1,NCEI CFSv2 soil-moisture forecast 4-cycle mean selected,selected,monthly climatology,39,0.5107606268568503,0.2924545142698872,0.6756693642058512,robust_positive,,"NOAA NCEI THREDDS CFSv2 monthly-mean flxf soilw forecast mapped to ERA5-Land root-zone soil-moisture dry-fraction probability. Observed dry thresholds and climatology use the train period; calibration is validation-only. This is a forecast-informed land-surface benchmark, not a lag-only ML model; CFSv2 member aggregation=4-cycle mean.",outputs/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_lead1_allcycles,California Central Valley,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence selected,selected,monthly climatology,39,0.4678239511195876,0.2636388500665207,0.6049260534565893,robust_positive,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_lead1_allcycles_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles,Southern Great Plains,ERA5-Land root-zone soil moisture dry fraction,1,NCEI CFSv2 soil-moisture forecast 4-cycle mean selected,selected,monthly climatology,39,0.4132733888420755,-0.009549336237372,0.6329543874925473,positive_uncertain,,"NOAA NCEI THREDDS CFSv2 monthly-mean flxf soilw forecast mapped to ERA5-Land root-zone soil-moisture dry-fraction probability. Observed dry thresholds and climatology use the train period; calibration is validation-only. This is a forecast-informed land-surface benchmark, not a lag-only ML model; CFSv2 member aggregation=4-cycle mean.",outputs/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_lead1,California Central Valley,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence selected,selected,monthly climatology,42,0.353213281560353,-0.2304681506027472,0.6332900043049969,positive_uncertain,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_lead1_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles,Mediterranean Spain bounding box,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence selected,selected,monthly climatology,39,0.0493606154749408,-0.979645943693614,0.5865293131778855,positive_uncertain,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles,Mediterranean Spain bounding box,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence raw,raw,monthly climatology,39,-0.0816766120950018,-1.247571065195344,0.5794400623721179,not_distinguishable_from_climatology,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles,Mediterranean Spain bounding box,ERA5-Land root-zone soil moisture dry fraction,1,NCEI CFSv2 soil-moisture forecast 4-cycle mean selected,selected,monthly climatology,39,-0.1407032758581845,-1.34357953542164,0.4683398556013275,not_distinguishable_from_climatology,,"NOAA NCEI THREDDS CFSv2 monthly-mean flxf soilw forecast mapped to ERA5-Land root-zone soil-moisture dry-fraction probability. Observed dry thresholds and climatology use the train period; calibration is validation-only. This is a forecast-informed land-surface benchmark, not a lag-only ML model; CFSv2 member aggregation=4-cycle mean.",outputs/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv,True
independent_precipitation_validation,prism_spi1_validation,California Central Valley basin,PRISM SPI-1 dry fraction,1,XGB-Spatial probabilities,selected canonical,PRISM monthly climatology,63,-0.0034851222510068,,,negative_no_ci,,CHIRPS-PRISM dry-fraction bias=0.046; xgb_prism_spearman=0.530,results/validation/prism_model_validation_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box,SPI-1 dry fraction,1,tabular XGBoost,isotonic,monthly climatology,63,0.044027407551768,-0.1510430884140117,0.2409632775351689,positive_uncertain,,Region slug=mediterranean_spain; raw BSS=-0.531.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box (country-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,0.0235012424817813,-0.1991037434426051,0.304857908720377,positive_uncertain,,Region slug=mediterranean_spain_country_masked; raw BSS=-0.606.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Southern Great Plains (basin-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,0.0101266802841194,-0.0977650760252542,0.1502212327158114,positive_uncertain,,Region slug=southern_great_plains_basin_masked; raw BSS=-0.159.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley (basin-mask sensitivity),SPI-1 dry fraction,1,tabular XGBoost,isotonic,monthly climatology,63,-0.0206463756823946,-0.1285208541488486,0.0423252060601063,not_distinguishable_from_climatology,,Region slug=cvalley_basin_masked; raw BSS=-0.022.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0264400988001913,-0.12448747003432,0.0470407181338282,not_distinguishable_from_climatology,,Region slug=cvalley; raw BSS=-0.196.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Horn of Africa bounding box (country-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0311087321935619,-0.3024123316724255,0.3196699796106816,not_distinguishable_from_climatology,,Region slug=horn_of_africa_country_masked; raw BSS=-2.134.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Southern Great Plains,SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0820000217488283,-0.1479039892441277,-0.0018953031791721,robust_negative,,Region slug=southern_great_plains; raw BSS=-0.383.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box (basin-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,monthly climatology,63,-0.0845885935465671,-0.2343410217289551,0.0340980808411184,not_distinguishable_from_climatology,,Region slug=mediterranean_spain_basin_masked; raw BSS=-0.484.,results/multiregion/multiregion_summary.csv,True
multi_region_selected_checkpoint,multi_region_spi1_lead1,Murray-Darling Basin bounding box (basin-mask sensitivity),SPI-1 dry fraction,1,tabular XGBoost,platt,monthly climatology,63,-0.6394547610524957,-1.308198580874294,-0.2784625144252496,robust_negative,,Region slug=murray_darling_basin_masked; raw BSS=-0.696.,results/multiregion/multiregion_summary.csv,True
operational_dynamical_benchmark,operational_spi1_lead1_nmme_probability,California Central Valley,SPI-1 dry fraction,1,CPC NMME probability forecast selected,selected,monthly climatology,52,0.131401010141243,-0.3144156584318137,0.3253745369683524,positive_uncertain,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi1_lead1_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_nmme_anomaly,California Central Valley,SPI-3 dry fraction,3,CPC NMME anomaly forecast selected,selected,monthly climatology,59,0.0858025111458475,-0.273687050254292,0.2641467062074574,positive_uncertain,,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_nmme_cpc_spi3_lead3_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi6_lead6_nmme_probability,California Central Valley,SPI-6 dry fraction,6,CPC NMME probability forecast raw,raw,monthly climatology,49,0.0353034873787889,-0.4442108138905876,0.2680780683700458,positive_uncertain,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi6_lead6_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_nmme_probability,California Central Valley,SPI-3 dry fraction,3,CPC NMME probability forecast raw,raw,monthly climatology,51,0.0069125404154212,-0.5500473802535453,0.2464693582541899,positive_uncertain,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi3_lead3_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi1_lead1_nmme_anomaly,California Central Valley,SPI-1 dry fraction,1,CPC NMME anomaly forecast selected,selected,monthly climatology,63,0.0024766561335314,-0.4368457757696822,0.2349672112572668,positive_uncertain,,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_precip_benchmark_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_ncei_cfsv2_rawamount,California Central Valley,SPI-3 dry fraction,3,NCEI CFSv2 precipitation forecast selected,selected,monthly climatology,55,-0.0297144704726808,-0.1664130126473398,0.0588530079218263,not_distinguishable_from_climatology,,NOAA NCEI THREDDS CFSv2 individual-run precipitation accumulated over the target SPI window and mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=NCEI_NMME_CFSv2_PR_6h.,outputs/operational_ncei_cfsv2_spi3_lead3_rawamount_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_nmme_probability,California Central Valley,SPI-3 dry fraction,3,CPC NMME probability forecast selected,selected,monthly climatology,51,-0.2117161454000207,-1.1019751607370796,0.1688146554057696,not_distinguishable_from_climatology,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi3_lead3_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi1_lead1_nmme_probability,California Central Valley,SPI-1 dry fraction,1,CPC NMME probability forecast raw,raw,monthly climatology,52,-0.2479407041692016,-1.153653054246026,0.0881672503374106,not_distinguishable_from_climatology,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi1_lead1_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi3_lead3_ncei_cfsv2_anomaly,California Central Valley,SPI-3 dry fraction,3,NCEI CFSv2 precipitation forecast selected,selected,monthly climatology,55,-0.3030450630587249,-1.2015768152659527,0.2000407278593378,not_distinguishable_from_climatology,,NOAA NCEI THREDDS CFSv2 individual-run precipitation accumulated over the target SPI window and mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=NCEI_NMME_CFSv2_PR_6h.,outputs/operational_ncei_cfsv2_spi3_lead3_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi6_lead6_nmme_anomaly,California Central Valley,SPI-6 dry fraction,6,CPC NMME anomaly forecast selected,selected,monthly climatology,62,-0.3439270193080728,-1.1679215571221195,0.1127820937895181,not_distinguishable_from_climatology,,CPC NMME precipitation-anomaly forecast mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_ENSMEAN.,outputs/operational_nmme_cpc_spi6_lead6_monthly_scores.csv,True
operational_dynamical_benchmark,operational_spi6_lead6_nmme_probability,California Central Valley,SPI-6 dry fraction,6,CPC NMME probability forecast selected,selected,monthly climatology,49,-0.4086320302452966,-1.7077168245395415,0.1677280405208525,not_distinguishable_from_climatology,,Official CPC NMME below-normal precipitation probability mapped to monthly dry-fraction probability. Uses validation-only calibration; source_model=CPC_NMME_PROB_ADJ_MON.,outputs/operational_nmme_cpc_prob_spi6_lead6_monthly_scores.csv,True
seasonal_regional_longlead,seasonal_spi6_lead6_nino34,mediterranean_spain_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,0.07758,0.00447,0.16189,robust_positive,positive_calibration_shift,climate_features=nino34; mask=basin; corr_iso_obs=0.041; std_ratio_iso_obs=0.104,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi3_lead3_nino34,mediterranean_spain_basin_masked,SPI-3 dry fraction,3,XGBoost seasonal isotonic,isotonic,monthly climatology,59,-0.06686,-0.14144,-0.01238,robust_negative,no_positive_signal,climate_features=nino34; mask=basin; corr_iso_obs=-0.313; std_ratio_iso_obs=0.107,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi6_lead6_nino34,southern_great_plains_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,-0.08677,-0.14284,-0.00969,robust_negative,no_positive_signal,climate_features=nino34; mask=basin; corr_iso_obs=0.402; std_ratio_iso_obs=0.121,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi6_lead6_all,southern_great_plains_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,-0.11372,-0.22748,-0.01641,robust_negative,no_positive_signal,climate_features=all; mask=; corr_iso_obs=0.114; std_ratio_iso_obs=0.299,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi6_lead6_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi3_lead3_nino34,murray_darling_basin_masked,SPI-3 dry fraction,3,XGBoost seasonal isotonic,isotonic,monthly climatology,59,-1.09948,-2.28336,-0.45872,robust_negative,no_positive_signal,climate_features=nino34; mask=basin; corr_iso_obs=0.238; std_ratio_iso_obs=0.375,outputs/seasonal/murray_darling_basin_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,True
seasonal_regional_longlead,seasonal_spi6_lead6_nino34,murray_darling_basin_masked,SPI-6 dry fraction,6,XGBoost seasonal isotonic,isotonic,monthly climatology,62,-2.12116,-3.11742,-1.2946,robust_negative,raw_signal_lost_after_calibration,climate_features=nino34; mask=basin; corr_iso_obs=0.332; std_ratio_iso_obs=0.435,outputs/seasonal/murray_darling_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,True
temporal_robustness,holdout_2009_2012,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.0036354449866997,-0.4549650000812159,0.1612424649016886,negative_uncertain,,test_years=2009-2012; test_minus_train_dry_mean=-0.032; monthly_bias=0.070,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,holdout_2017_2020,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.0095476327589405,-0.4258424847275631,0.2131427507002207,negative_uncertain,,test_years=2017-2020; test_minus_train_dry_mean=0.014; monthly_bias=0.029,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,canonical_2021_2026,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,63,-0.0252709978252347,-0.1599543729702329,0.0868465661902636,negative_uncertain,,test_years=2021-2026; test_minus_train_dry_mean=0.040; monthly_bias=-0.040,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,holdout_2013_2016,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.07726818876076,-0.3154360132709066,0.098062193397119,negative_uncertain,,test_years=2013-2016; test_minus_train_dry_mean=0.019; monthly_bias=-0.075,results/temporal/temporal_robustness_summary.csv,True
temporal_robustness,holdout_2005_2008,California Central Valley,SPI-1 dry fraction,1,Tabular XGBoost rolling holdout,isotonic,train calendar-month climatology,48,-0.0892236489748374,-0.3220825662864762,0.1253474833792389,negative_uncertain,,test_years=2005-2008; test_minus_train_dry_mean=0.014; monthly_bias=-0.025,results/temporal/temporal_robustness_summary.csv,True
